City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Kavieng,PG,2020-07-02 21:02:44,-2.57,150.8,81.93,72,12,6.4
169,Russell,US,2020-07-02 21:02:44,32.35,-85.2,89.6,59,40,3.36
170,Paranagua,BR,2020-07-02 21:00:23,-25.52,-48.51,55.4,54,32,6.93
171,Port Hedland,AU,2020-07-02 21:02:45,-20.32,118.57,71.6,30,92,11.41
172,Yanam,IN,2020-07-02 21:02:45,16.73,82.22,81.63,82,100,6.82
173,Port Hardy,CA,2020-07-02 21:02:46,50.7,-127.42,62.6,55,75,11.41
174,Aswan,EG,2020-07-02 21:02:46,24.09,32.91,86.34,15,0,9.1
175,Bardiyah,LY,2020-07-02 21:02:46,31.76,25.09,73.69,87,0,12.55
176,Kununurra,AU,2020-07-02 21:02:47,-15.77,128.73,62.6,52,0,6.51
177,Torres,BR,2020-07-02 21:02:47,-29.34,-49.73,51.93,65,0,10.22
178,Qandala,SO,2020-07-02 21:02:47,11.47,49.87,92.16,46,19,9.48
179,Lazaro Cardenas,MX,2020-07-02 20:59:53,17.96,-102.2,87.3,56,97,9.55
180,Bambous Virieux,MU,2020-07-02 21:02:48,-20.34,57.76,69.8,83,75,8.05
181,Grahamstown,ZA,2020-07-02 21:02:48,-33.3,26.53,63.0,75,4,8.01
182,Banjar,ID,2020-07-02 21:02:49,-8.19,114.97,77.0,94,75,3.36
183,Rio Gallegos,AR,2020-07-02 20:58:19,-51.62,-69.22,32.0,96,90,2.24
184,Georgetown,MY,2020-07-02 21:00:15,5.41,100.34,82.0,94,40,1.32
185,Bitburg,DE,2020-07-02 21:02:50,49.97,6.53,59.0,82,75,6.93
186,Uhlove,UA,2020-07-02 21:02:50,44.82,33.6,74.79,76,0,2.84
187,Chapais,CA,2020-07-02 21:02:50,49.78,-74.85,78.8,41,1,10.29
188,Deputatskiy,RU,2020-07-02 21:02:50,69.3,139.9,45.55,67,96,11.36
189,Jackson,US,2020-07-02 21:02:35,42.42,-122.83,81.0,22,1,9.17
190,Kavaratti,IN,2020-07-02 21:02:51,10.57,72.64,83.57,77,100,20.24
191,Hambantota,LK,2020-07-02 21:02:51,6.12,81.12,81.0,80,100,15.64
192,Batticaloa,LK,2020-07-02 21:02:52,7.71,81.69,81.46,76,100,0.27
193,Kaeo,NZ,2020-07-02 21:02:52,-35.1,173.78,46.0,87,0,1.99
194,Clyde River,CA,2020-07-02 21:02:52,70.47,-68.59,53.6,66,20,17.22
195,Opuwo,NA,2020-07-02 21:02:52,-18.06,13.84,60.01,39,0,10.11
196,Thompson,CA,2020-07-02 21:02:53,55.74,-97.86,75.2,69,20,4.7
197,Arraial Do Cabo,BR,2020-07-02 21:00:32,-22.97,-42.03,69.8,68,75,4.7
198,Yelizovo,RU,2020-07-02 21:02:53,53.19,158.38,51.8,100,20,2.24
199,Chokurdakh,RU,2020-07-02 21:02:54,70.63,147.92,39.15,81,100,16.82
200,Nizhniy Kuranakh,RU,2020-07-02 21:02:54,58.84,125.49,61.92,87,73,4.7
201,Bairnsdale,AU,2020-07-02 21:02:55,-37.83,147.62,37.99,91,17,7.38
202,College,US,2020-07-02 21:02:55,64.86,-147.8,57.2,58,75,1.03
203,Pangkalanbuun,ID,2020-07-02 21:02:55,-2.68,111.62,73.27,98,5,1.59
204,Erdemli,TR,2020-07-02 21:02:55,36.6,34.31,80.94,54,0,5.23
205,Florianopolis,BR,2020-07-02 20:58:54,-27.61,-48.5,59.0,58,40,9.17
206,Beloha,MG,2020-07-02 21:02:56,-25.17,45.05,60.01,84,0,8.46
207,Takoradi,GH,2020-07-02 21:02:56,4.88,-1.76,76.5,87,46,9.24
208,Buchanan,LR,2020-07-02 21:02:57,5.88,-10.05,77.0,94,75,9.51
209,Kahului,US,2020-07-02 21:02:02,20.89,-156.47,87.8,48,40,21.92
210,Khor,RU,2020-07-02 21:02:57,47.89,134.95,55.51,83,35,4.79
211,Azangaro,PE,2020-07-02 21:02:58,-14.92,-70.22,64.4,3,0,3.36
212,Healesville,AU,2020-07-02 21:02:58,-37.65,145.52,45.0,76,74,4.94
213,Makakilo City,US,2020-07-02 21:02:27,21.35,-158.09,84.2,58,75,6.93
214,Kieta,PG,2020-07-02 21:02:58,-6.22,155.63,79.75,72,10,3.15
215,Laguna,US,2020-07-02 21:02:59,38.42,-121.42,87.01,36,1,10.29
216,Nalut,LY,2020-07-02 21:02:05,30.33,10.85,90.52,17,0,14.09
217,Derzhavinsk,KZ,2020-07-02 21:02:59,51.1,66.32,50.99,94,0,9.24
218,Grand Gaube,MU,2020-07-02 21:03:00,-20.01,57.66,68.0,83,26,7.0
219,Akyab,MM,2020-07-02 21:03:00,20.15,92.9,82.49,84,97,5.14
220,Dombas,NO,2020-07-02 21:03:00,62.07,9.12,43.05,74,100,2.15
221,Flinders,AU,2020-07-02 21:03:01,-34.58,150.86,48.99,78,0,1.01
222,Skibbereen,IE,2020-07-02 21:03:01,51.55,-9.27,55.4,76,75,12.75
223,Padang,ID,2020-07-02 21:03:01,-0.95,100.35,78.76,78,76,3.11
224,Alvaraes,BR,2020-07-02 21:03:01,-3.22,-64.8,89.6,66,40,2.24
225,Kumluca,TR,2020-07-02 21:03:02,36.37,30.29,83.35,43,0,5.46
226,Ulaangom,MN,2020-07-02 21:03:02,49.98,92.07,63.16,65,38,2.01
227,Samarai,PG,2020-07-02 21:03:02,-10.62,150.67,76.77,78,51,13.56
228,Hovd,MN,2020-07-02 21:03:03,48.01,91.64,63.23,41,1,6.11
229,Coolum Beach,AU,2020-07-02 21:03:03,-26.53,153.1,54.0,93,7,4.97
230,Goose Creek,US,2020-07-02 21:03:03,32.98,-80.03,91.99,66,75,4.7
231,Waipawa,NZ,2020-07-02 21:03:04,-41.41,175.52,48.2,76,97,9.17
232,Westport,US,2020-07-02 21:03:04,41.14,-73.36,91.0,48,1,10.29
233,Flin Flon,CA,2020-07-02 21:03:04,54.77,-101.86,80.6,39,75,12.75
234,Sydney,AU,2020-07-02 21:00:53,-33.87,151.21,54.0,58,20,12.75
235,Tocopilla,CL,2020-07-02 21:00:10,-22.09,-70.2,65.35,58,21,3.74
236,Manokwari,ID,2020-07-02 21:02:06,-0.87,134.08,79.14,71,100,4.16
237,Talaya,RU,2020-07-02 21:03:05,61.38,152.75,53.08,48,18,1.16
238,Puerto Escondido,MX,2020-07-02 21:03:06,15.85,-97.07,86.0,66,40,6.33
239,Bursa,TR,2020-07-02 21:00:07,40.17,29.08,71.6,73,0,4.03
240,Saint George,US,2020-07-02 21:00:06,37.1,-113.58,96.01,13,1,12.75
241,Sangar,RU,2020-07-02 21:03:07,63.92,127.47,61.38,63,99,16.98
242,Hervey Bay,AU,2020-07-02 21:03:07,-25.3,152.85,55.0,92,0,8.99
243,Apatou,GF,2020-07-02 21:01:04,5.16,-54.35,78.67,94,100,3.09
244,Bilgi,IN,2020-07-02 21:03:08,16.35,75.62,73.47,90,100,17.56
245,Espanola,US,2020-07-02 21:03:08,35.99,-106.08,88.0,11,40,4.7
246,Staryy Nadym,RU,2020-07-02 21:03:08,65.61,72.68,57.18,83,96,7.11
247,Sicuani,PE,2020-07-02 21:03:08,-14.27,-71.23,63.32,22,0,4.03
248,Morgan City,US,2020-07-02 21:03:09,29.7,-91.21,93.0,49,1,9.17
249,Abilene,US,2020-07-02 20:58:41,32.45,-99.73,91.99,59,1,6.93
250,Bathsheba,BB,2020-07-02 21:03:09,13.22,-59.52,86.0,66,40,21.92
251,San Jose De Rio Tinto,HN,2020-07-02 21:03:10,14.93,-85.7,74.55,82,99,3.78
252,Geraldton,AU,2020-07-02 21:03:10,-28.77,114.6,51.8,66,0,10.29
253,Ayan,RU,2020-07-02 21:03:10,56.45,138.17,54.55,82,100,4.14
254,Muscatine,US,2020-07-02 21:03:10,41.47,-91.13,89.6,49,1,8.05
255,Lasa,IT,2020-07-02 21:03:11,46.62,10.7,53.6,100,75,4.7
256,Chateauneuf-Les-Martigues,FR,2020-07-02 21:03:11,43.38,5.17,81.0,65,40,17.22
